epoch,train_loss,test_accuracy
1,0.338544,0.944580
2,0.205194,0.946102
3,0.030955,0.958181
4,0.136309,0.959602
5,0.316975,0.952091
6,0.119806,0.961328
7,0.000000,0.962546
8,0.051691,0.944884
9,0.226405,0.946610
10,0.106089,0.960922
11,0.000000,0.954324
12,0.645039,0.954629
13,0.023072,0.957674
14,0.101558,0.944478
15,0.000000,0.951583
16,0.000000,0.950771
17,0.000000,0.940824
18,0.453546,0.951685
19,0.106460,0.951583
20,0.000000,0.953207
21,0.000000,0.942347
22,0.102232,0.937678
23,0.000000,0.950974
24,0.195962,0.952294
25,0.082575,0.959196
26,0.122433,0.953918
27,0.000000,0.937982
28,0.042166,0.950264
29,0.135292,0.939403
30,0.000000,0.944986
31,0.000000,0.952801
32,0.000000,0.947016
33,0.091792,0.951279
34,0.000000,0.948132
35,0.070207,0.938997
36,0.000000,0.943869
37,0.000000,0.948640
38,0.000000,0.946711
39,0.000000,0.941027
40,0.095753,0.949046
41,0.000000,0.954324
42,0.232124,0.947320
43,0.000000,0.946305
44,0.000000,0.949959
45,0.638041,0.953918
46,0.000000,0.948843
47,0.000000,0.944275
48,0.000000,0.953613
49,0.000000,0.952497
50,0.036261,0.948335
51,0.000000,0.948132
52,0.000000,0.949553
53,0.158262,0.934328
54,0.040905,0.926817
55,0.036589,0.919915
56,0.000000,0.933110
57,0.155090,0.948741
58,0.000000,0.948843
59,0.002367,0.950568
60,0.000000,0.937982
61,0.000000,0.944275
62,0.000000,0.948538
63,0.039690,0.937881
64,0.000000,0.941941
65,0.272056,0.953816
66,0.002639,0.949046
67,0.000000,0.931790
68,0.000000,0.947016
69,0.000000,0.949147
70,0.000000,0.940926
71,0.000000,0.949452
72,0.066497,0.950061
73,0.000000,0.942144
74,0.000000,0.947828
75,0.247058,0.938896
76,0.000000,0.945595
77,0.221239,0.948234
78,0.000000,0.942144
79,0.000000,0.940926
80,0.000000,0.947828
81,0.000000,0.926005
82,0.056768,0.947726
83,0.000000,0.949553
84,0.000000,0.950061
85,0.000000,0.917479
86,0.000000,0.946305
87,0.000000,0.946305
88,0.037805,0.945595
89,0.000000,0.942245
90,0.000000,0.949655
91,0.000000,0.937881
92,0.000000,0.951482
93,0.101079,0.946204
94,0.000000,0.951177
95,0.000000,0.955339
96,0.000000,0.955136
97,0.000000,0.938287
98,0.000000,0.942448
99,0.000000,0.955238
100,0.000000,0.925396
1,0.156148,0.943768
2,0.176869,0.956963
3,0.083014,0.947828
4,0.077423,0.960414
5,0.191448,0.954730
6,0.217529,0.943565
7,0.051097,0.948132
8,0.119279,0.947929
9,0.103111,0.959196
10,0.000000,0.951989
11,0.413859,0.948538
12,0.077936,0.952801
13,0.000000,0.950264
14,0.000000,0.950873
15,0.107179,0.946508
16,0.012296,0.940926
17,0.061839,0.949959
18,0.000000,0.952497
19,0.000000,0.953410
20,0.000000,0.941129
21,0.010078,0.950365
22,0.002533,0.954121
23,0.000000,0.945798
24,0.000000,0.937982
25,0.000000,0.937170
26,0.000000,0.953207
27,0.000000,0.948132
28,0.000000,0.934836
29,0.000000,0.934734
30,0.000000,0.945798
31,0.000000,0.907734
32,0.105965,0.949147
33,0.000000,0.943362
34,0.076884,0.950365
35,0.163797,0.954019
36,0.000000,0.950264
37,0.002204,0.947219
38,0.330449,0.924787
39,0.060609,0.951888
40,0.000000,0.947320
41,0.000000,0.947016
42,0.000000,0.944072
43,0.000000,0.950264
44,0.000000,0.953918
45,0.000000,0.952091
46,0.000000,0.926715
47,0.000000,0.950467
48,0.000000,0.955238
49,0.000000,0.943260
50,0.000000,0.945798
51,0.013508,0.949249
52,0.000000,0.904182
53,0.000000,0.945087
54,0.053418,0.946610
55,0.079235,0.943159
56,0.083339,0.954527
57,0.000000,0.928745
58,0.000000,0.928948
59,0.000000,0.943565
60,0.000000,0.940824
61,0.000000,0.940215
62,0.000000,0.939403
63,0.000000,0.940114
64,0.051999,0.946001
65,0.000000,0.947016
66,0.000000,0.945696
67,0.000000,0.951380
68,0.000000,0.945189
69,0.000000,0.944986
70,0.000000,0.936358
71,0.000000,0.951482
72,0.000000,0.946610
73,0.000000,0.943869
