epoch,train_loss,test_accuracy
1,0.246508,0.968166
2,-2.137239,0.961507
3,191.966324,0.789021
4,31197.068359,0.893779
5,-623827.812500,0.797304
6,-1867318.750000,0.777814
7,-20685968.000000,0.793243
8,-61018616.000000,0.785447
9,91163008.000000,0.802176
10,-325241696.000000,0.785123
11,-232839552.000000,0.802826
12,1120400384.000000,0.770505
13,-325843552.000000,0.800065
14,-1813471872.000000,0.800065
15,-8148563456.000000,0.686860
16,-4411896320.000000,0.800227
17,-9009229824.000000,0.764821
18,-7731799552.000000,0.756212
19,1971284096.000000,0.789833
20,-24037292032.000000,0.800065
21,-25755215872.000000,0.800065
22,-26040500224.000000,0.800065
23,-5300266496.000000,0.800065
24,-42911391744.000000,0.800065
25,-46303625216.000000,0.737697
26,-75101454336.000000,0.755076
27,-15922359296.000000,0.800065
28,119771635712.000000,0.742569
29,-28286631936.000000,0.755725
30,-130321326080.000000,0.800065
31,139868307456.000000,0.751178
32,-116484308992.000000,0.800065
33,-161521680384.000000,0.800065
34,-155653554176.000000,0.760435
35,48898183168.000000,0.800065
36,76828409856.000000,0.744681
37,-866538160128.000000,0.800065
38,-1277978607616.000000,0.800065
39,-125996007424.000000,0.749391
40,-397974437888.000000,0.755888
41,13572601856.000000,0.747280
42,179184664576.000000,0.800065
43,-896461242368.000000,0.756862
44,-917683437568.000000,0.800065
45,-405029093376.000000,0.742245
46,-2544331653120.000000,0.748741
47,-492617695232.000000,0.753939
48,381866049536.000000,0.751178
49,-3142293389312.000000,0.755888
50,1210024722432.000000,0.800065
51,-3042542616576.000000,0.752152
52,47771992064.000000,0.772129
53,1872086564864.000000,0.800065
54,-1703699415040.000000,0.800065
55,-3375597355008.000000,0.800065
56,1073190273024.000000,0.712197
57,-741097537536.000000,0.800065
58,2864707796992.000000,0.800065
59,-3699681525760.000000,0.707812
60,-4459138646016.000000,0.712685
61,887852105728.000000,0.713497
62,-4092423831552.000000,0.800065
63,2612410974208.000000,0.800065
64,-5207154491392.000000,0.707812
