epoch,train_loss,test_accuracy
66,0.000000,0.966867
67,0.000000,0.972714
68,0.000000,0.974825
69,0.015592,0.973201
70,0.000000,0.977424
71,0.000000,0.981972
72,0.000000,0.977262
73,0.000000,0.978561
74,0.009176,0.953874
75,0.000000,0.974013
76,0.057028,0.978723
77,0.000000,0.974825
78,0.000000,0.970603
79,0.000000,0.973851
80,0.000000,0.984083
81,0.218524,0.978236
82,0.000000,0.975313
83,0.235729,0.976450
84,0.000000,0.968654
85,0.000000,0.976937
86,0.000000,0.979211
87,0.283994,0.964593
88,0.086166,0.964593
89,0.000000,0.978399
90,0.004379,0.970278
91,0.000000,0.959233
92,0.106940,0.977586
93,0.000000,0.931298
94,0.082446,0.977262
95,0.000000,0.974176
96,0.028056,0.976937
97,0.000000,0.977262
98,0.013873,0.971739
99,0.000000,0.961507
100,0.000000,0.970440
1,0.057558,0.974013
2,0.054362,0.970927
3,0.144405,0.972064
4,0.000000,0.975637
5,0.107626,0.961345
6,0.000000,0.972227
7,0.047701,0.981647
8,0.191625,0.974825
9,0.004396,0.974013
10,0.050198,0.981809
11,0.063381,0.973688
12,0.023214,0.979535
13,0.211250,0.962157
14,0.076122,0.981484
15,0.000000,0.972552
16,0.089821,0.967841
17,0.219776,0.978236
18,0.000000,0.955660
19,0.016737,0.969303
20,0.000000,0.974988
21,0.000000,0.970278
22,0.000000,0.973201
23,0.020092,0.969628
24,0.000000,0.961994
25,0.000000,0.976287
26,0.000000,0.972552
27,0.010823,0.976612
28,0.000000,0.974338
29,0.000000,0.974176
30,0.000000,0.972552
31,0.249151,0.975150
32,0.029974,0.968654
33,0.005028,0.974501
34,0.000000,0.972389
35,0.134940,0.973364
36,0.078469,0.966867
37,0.032669,0.975313
38,0.014516,0.957284
39,0.000000,0.964593
40,0.000000,0.977586
41,0.000000,0.972876
42,0.000000,0.968166
43,0.000000,0.974825
44,0.000000,0.962644
45,0.189483,0.973364
46,0.040973,0.977262
47,0.000000,0.966705
48,0.000000,0.973364
49,0.000000,0.965892
50,0.225269,0.962969
51,0.136957,0.962482
52,0.000000,0.963943
53,0.104097,0.977099
54,0.061781,0.977749
55,0.000000,0.978236
56,0.035381,0.974825
57,0.000000,0.973364
58,0.230419,0.977749
59,0.011784,0.974663
60,0.000000,0.977586
61,0.000000,0.981809
62,0.000000,0.972876
63,0.067922,0.978236
64,0.000000,0.976450
65,0.051507,0.977586
66,0.000000,0.981322
67,0.000000,0.971415
68,0.000000,0.972064
69,0.000000,0.977262
70,0.000000,0.974663
71,0.000000,0.972227
72,0.023694,0.960370
73,0.001305,0.965405
74,0.191348,0.972876
75,0.000000,0.968978
76,0.000000,0.972876
77,0.000000,0.976937
78,0.000131,0.979535
79,0.000000,0.976450
80,0.000000,0.977586
81,0.000000,0.964431
82,0.000000,0.972389
83,0.000000,0.974663
84,0.000000,0.973851
85,0.000000,0.973688
86,0.000000,0.962969
87,0.000000,0.975637
88,0.000000,0.978399
89,0.079059,0.967517
90,0.000000,0.971577
91,0.000000,0.960858
92,0.123881,0.970927
93,0.132935,0.970765
94,0.000000,0.973364
95,0.000000,0.974501
96,0.000000,0.970440
97,0.006974,0.974988
98,0.000000,0.971902
99,0.090543,0.968004
100,0.000000,0.975800
1,0.082180,0.968654
2,0.033313,0.977586
3,0.003090,0.982621
4,0.094800,0.977099
5,0.150510,0.978886
6,0.000669,0.975962
7,0.150712,0.981322
8,0.000000,0.977586
9,0.011245,0.909696
10,0.078014,0.976937
11,0.085517,0.980835
12,0.048246,0.978074
13,0.138543,0.978886
14,0.037491,0.982784
15,0.000000,0.976612
16,0.000000,0.904986
17,0.044426,0.976287
18,0.065413,0.974338
19,0.000000,0.955335
20,0.026099,0.976450
21,0.000000,0.971739
22,0.000000,0.974825
23,0.158870,0.976937
24,0.211391,0.974825
25,0.040157,0.968004
26,0.030821,0.960370
27,0.000000,0.959558
28,0.000000,0.973201
29,0.022230,0.979860
30,0.000000,0.976450
31,0.007670,0.978236
32,0.148450,0.982297
33,0.000000,0.976287
34,0.000000,0.968166
35,0.183888,0.972552
36,0.027848,0.979698
37,0.137956,0.969628
38,0.000000,0.977586
39,0.034577,0.973526
40,0.000000,0.975962
41,0.000000,0.980185
42,0.070135,0.954198
43,0.000000,0.973364
44,0.068990,0.982621
45,0.003622,0.979048
46,0.000000,0.974501
47,0.000000,0.978886
48,0.202429,0.976774
49,0.000000,0.981809
50,0.000000,0.981809
51,0.000000,0.975637
52,0.000000,0.982134
53,0.000000,0.981322
54,0.000000,0.980672
55,0.022239,0.968978
56,0.008639,0.976450
57,0.012851,0.974825
58,0.001063,0.978399
59,0.000000,0.955498
60,0.034263,0.954361
61,0.000000,0.976125
62,0.000000,0.973364
63,0.097203,0.972064
64,0.000000,0.981972
65,0.000000,0.977586
66,0.000000,0.981647
67,0.000000,0.981972
68,0.009422,0.980348
69,0.000000,0.961670
70,0.122218,0.971252
71,0.000000,0.974013
72,0.071219,0.976287
73,0.165122,0.974663
74,0.000000,0.980835
75,0.000000,0.975637
76,0.000000,0.975475
77,0.000000,0.973526
78,0.145478,0.978236
79,0.000000,0.966380
80,0.030891,0.971415
81,0.000000,0.970115
82,0.000000,0.975962
83,0.009536,0.978399
84,0.073675,0.984570
85,0.000000,0.978074
86,0.000000,0.966867
87,0.000000,0.968654
88,0.000000,0.970603
89,0.000000,0.974501
90,0.000000,0.981322
91,0.000000,0.973688
92,0.000000,0.975150
93,0.000000,0.974988
94,0.000000,0.961832
95,0.000000,0.980835
96,0.197372,0.977749
97,0.000000,0.977586
98,0.000000,0.978561
99,0.000000,0.978886
100,0.000000,0.971739
