epoch,train_loss,test_accuracy
1,-0.044392,0.953958
2,-19.227028,0.933459
3,-700.236877,0.931094
4,2833.707275,0.880479
5,302607.656250,0.882371
6,-309634.093750,0.890098
7,-17133946.000000,0.907127
8,-35451040.000000,0.908389
9,-15759855.000000,0.880006
10,-49966820.000000,0.899085
11,-205488672.000000,0.888836
12,-169383920.000000,0.802586
13,808743872.000000,0.899243
14,-1309377408.000000,0.873699
15,-1667712000.000000,0.903658
16,-957086336.000000,0.826868
17,2849241856.000000,0.830653
18,-3025947904.000000,0.919584
19,-24552673280.000000,0.879849
20,-4254781184.000000,0.878430
21,-15856976896.000000,0.808735
22,-8906768384.000000,0.863292
23,785862848.000000,0.906654
24,-11200901120.000000,0.843898
25,-42811289600.000000,0.881583
26,-60784570368.000000,0.874645
27,-10088956928.000000,0.890413
28,-65514242048.000000,0.886944
29,-53450461184.000000,0.883160
30,-40919085056.000000,0.879691
31,-187119206400.000000,0.898770
32,-141809745920.000000,0.888521
33,-227134881792.000000,0.906339
34,-167065239552.000000,0.821192
35,-221381902336.000000,0.826080
36,-283181416448.000000,0.800063
37,-138688249856.000000,0.857931
38,65895235584.000000,0.816146
39,-278105227264.000000,0.852728
40,-426326458368.000000,0.827815
41,-184474320896.000000,0.880006
42,157547020288.000000,0.810628
43,-203420712960.000000,0.896090
44,-2290738432.000000,0.877326
45,-265178087424.000000,0.800063
46,-385994948608.000000,0.846736
47,-39812030464.000000,0.852728
48,-836990140416.000000,0.867234
49,857953402880.000000,0.884421
50,464608788480.000000,0.830022
51,738765635584.000000,0.824503
52,-919668129792.000000,0.822927
53,118041894912.000000,0.800063
54,118373498880.000000,0.865184
55,862410244096.000000,0.839010
56,-379663417344.000000,0.861400
57,-285152706560.000000,0.800063
58,2012687106048.000000,0.800063
59,-1988925980672.000000,0.800063
60,383036096512.000000,0.800063
61,-370644615168.000000,0.826238
62,-3839220776960.000000,0.892936
63,-4848639016960.000000,0.896563
64,-1109267972096.000000,0.800063
65,-2344903770112.000000,0.800063
66,636683616256.000000,0.853832
67,1691022131200.000000,0.893724
68,-9329281335296.000000,0.880322
69,404643053568.000000,0.800063
70,2422289989632.000000,0.831914
71,-2524578054144.000000,0.871019
72,-2613474754560.000000,0.880795
73,7893330427904.000000,0.855251
74,-10694099468288.000000,0.883475
75,-10551437557760.000000,0.846421
76,-5808131145728.000000,0.857931
77,7058176344064.000000,0.884894
78,-9356178358272.000000,0.882687
79,-14230019375104.000000,0.800063
80,3108002070528.000000,0.800063
81,-1910350282752.000000,0.895617
82,-404265992192.000000,0.893724
83,6483172917248.000000,0.879533
84,-4779816255488.000000,0.880952
85,-3202757165056.000000,0.800063
86,-17299519045632.000000,0.902397
87,8979685048320.000000,0.800063
88,-2897139466240.000000,0.800063
89,5508292935680.000000,0.880164
90,-34785885945856.000000,0.874961
91,-19896024956928.000000,0.883948
92,317621075968.000000,0.874330
93,-11906105475072.000000,0.902397
94,-4469902278656.000000,0.877168
95,-1504811679744.000000,0.877010
96,-39515141963776.000000,0.901924
97,-23985322459136.000000,0.800063
98,-16523662983168.000000,0.865027
99,-3528964702208.000000,0.800063
100,-6751538642944.000000,0.902397
1,0.060905,0.963576
2,0.624105,0.965153
3,-508.358093,0.963892
4,-29893.585938,0.937874
5,96114.117188,0.846105
6,-66730.945312,0.852886
7,-4127758.000000,0.901135
8,7362427.000000,0.846736
9,38753928.000000,0.845159
10,-13619348.000000,0.800694
11,-328646048.000000,0.820246
12,-584875008.000000,0.805582
13,-57805616.000000,0.783507
14,-1142458752.000000,0.827657
15,1014107712.000000,0.800063
16,-490265184.000000,0.773731
17,-194689888.000000,0.800063
18,-4759127552.000000,0.799590
19,2080495488.000000,0.824346
20,13314036736.000000,0.820877
21,-16345951232.000000,0.800063
22,6248758272.000000,0.800063
23,-6340464640.000000,0.800063
24,-39336837120.000000,0.821665
25,-16700432384.000000,0.787133
26,-26917015552.000000,0.810312
27,-695073088.000000,0.808420
28,-77207666688.000000,0.800063
29,-28147843072.000000,0.808105
30,-41605423104.000000,0.800063
31,-117351014400.000000,0.810785
32,11701395456.000000,0.800063
33,28914903040.000000,0.763955
34,-84932141056.000000,0.800063
35,-8510449664.000000,0.800063
36,-86752002048.000000,0.800063
37,232171339776.000000,0.800063
38,-13097300992.000000,0.769473
39,-33686697984.000000,0.800063
40,-27806013440.000000,0.754809
41,-733873635328.000000,0.767581
42,333568376832.000000,0.800063
43,447842779136.000000,0.760643
44,-1131448631296.000000,0.763797
45,586227384320.000000,0.762220
46,519518355456.000000,0.771208
47,-445593092096.000000,0.800063
48,478496620544.000000,0.755125
49,-410181697536.000000,0.800063
50,-644464115712.000000,0.800063
51,-1311847874560.000000,0.800063
52,-2287322529792.000000,0.800063
53,-2285590282240.000000,0.764428
54,983438000128.000000,0.769473
55,2263474503680.000000,0.800063
56,56979673088.000000,0.754652
57,1004084068352.000000,0.761116
58,1443142828032.000000,0.759855
59,719265988608.000000,0.800063
60,-1636110696448.000000,0.767581
61,-1710073970688.000000,0.763324
62,-3401476472832.000000,0.760328
63,-205093634048.000000,0.758278
64,-1667509518336.000000,0.760328
65,2764723716096.000000,0.768527
66,-1948814016512.000000,0.748975
67,-6185060139008.000000,0.762062
68,-1721985794048.000000,0.748817
69,-7848408383488.000000,0.800063
70,-5249592459264.000000,0.800063
71,-3287933517824.000000,0.800063
72,-3938222342144.000000,0.800063
73,-5745739300864.000000,0.800063
74,-6382373306368.000000,0.761432
75,-4394787274752.000000,0.800063
76,-761973899264.000000,0.800063
77,-1456320282624.000000,0.761905
78,-8087873781760.000000,0.800063
79,-13341618601984.000000,0.800063
80,-1737205874688.000000,0.800063
81,-926659510272.000000,0.800063
82,1950010572800.000000,0.800063
83,-3478605004800.000000,0.790445
84,6345154625536.000000,0.800063
85,-10702974615552.000000,0.800063
86,-20216438325248.000000,0.800063
87,3450255441920.000000,0.800063
88,1047110221824.000000,0.763009
89,-29048793202688.000000,0.800063
90,-20630340632576.000000,0.769946
91,-22213107384320.000000,0.800063
92,3223785046016.000000,0.800063
93,-12014805057536.000000,0.757332
94,-3783671152640.000000,0.760801
95,2810490650624.000000,0.800063
96,-6818807414784.000000,0.800063
97,858453049344.000000,0.800063
98,-2163912998912.000000,0.757805
99,-30868364066816.000000,0.800063
100,6887131578368.000000,0.763639
1,-0.045829,0.966099
2,-0.802756,0.959950
3,-19.974796,0.948597
4,-248.845398,0.915799
5,-46088.367188,0.800063
6,41582.828125,0.838537
7,277326.000000,0.802113
8,-8705049.000000,0.911700
9,-8493842.000000,0.909492
10,14265068.000000,0.856354
11,-60079144.000000,0.855408
12,469914688.000000,0.851624
13,17124028.000000,0.793914
14,-415470592.000000,0.797383
15,-1052060416.000000,0.862031
16,-3342091520.000000,0.881898
17,-5279155200.000000,0.870073
18,-1674642560.000000,0.859035
19,-11683221504.000000,0.804478
20,-6071158272.000000,0.877956
21,-9807179776.000000,0.887575
22,-6166960128.000000,0.869284
23,-22494808064.000000,0.884737
24,1757920000.000000,0.867234
25,16961876992.000000,0.883475
26,6880530432.000000,0.863292
27,-39810945024.000000,0.823084
28,-56665128960.000000,0.813781
29,-136068505600.000000,0.872122
30,-97063682048.000000,0.842006
31,2320188160.000000,0.869284
32,-584477632.000000,0.797225
33,37140717568.000000,0.798329
34,-12351769600.000000,0.863608
35,-192594198528.000000,0.813150
36,-21962110976.000000,0.865027
37,-69179973632.000000,0.800221
38,-285747019776.000000,0.863450
39,-74556653568.000000,0.877799
40,-263787249664.000000,0.877956
41,-464265641984.000000,0.865342
42,-647263682560.000000,0.887417
43,-646651379712.000000,0.875118
44,-221779214336.000000,0.878587
45,-292916592640.000000,0.875591
46,-894349541376.000000,0.885525
47,334488666112.000000,0.853832
48,-495661547520.000000,0.887733
49,-539230273536.000000,0.881583
50,116667891712.000000,0.879533
51,-1454868529152.000000,0.881583
52,-1826280833024.000000,0.851309
53,-2023797817344.000000,0.869915
54,-313568395264.000000,0.871807
55,-1891674750976.000000,0.876064
56,-2335848005632.000000,0.882371
57,-379633991680.000000,0.876695
58,-4001366016000.000000,0.800063
59,-2836752498688.000000,0.800063
60,60618317824.000000,0.889467
61,-1386054025216.000000,0.888206
62,-168414101504.000000,0.881898
63,-2466225586176.000000,0.894197
64,2443322589184.000000,0.886313
65,-1425547853824.000000,0.897824
66,-3425244807168.000000,0.893094
67,3126134046720.000000,0.890728
68,-2011861221376.000000,0.865500
69,260676878336.000000,0.890728
70,1157991628800.000000,0.862977
71,1432066457600.000000,0.896405
72,49367232512.000000,0.881741
73,-924916580352.000000,0.863450
74,-7549957439488.000000,0.892621
75,-6670840233984.000000,0.897666
76,156206481408.000000,0.898928
77,-7856316219392.000000,0.886471
78,-5228419612672.000000,0.899716
79,-6444655575040.000000,0.895932
80,4243530186752.000000,0.888363
81,-14311700299776.000000,0.880479
82,-11763597705216.000000,0.901924
83,-2769849679872.000000,0.895143
84,-11686351208448.000000,0.904762
85,-9795255926784.000000,0.894040
86,2459760852992.000000,0.800063
87,-2094529511424.000000,0.806055
88,-18146903719936.000000,0.899558
89,-10646388211712.000000,0.890098
90,4490309664768.000000,0.899558
91,-10341246304256.000000,0.898770
92,-13447118979072.000000,0.897036
