epoch,train_loss,test_accuracy
1,0.154708,0.960738
2,0.132091,0.963261
3,0.243133,0.970672
4,0.156653,0.973037
5,0.161538,0.976190
6,0.115591,0.978871
7,0.179999,0.981552
8,0.136576,0.970672
9,0.059913,0.974929
10,0.102991,0.978713
11,0.200932,0.981236
12,0.104456,0.983128
13,0.098694,0.979975
14,0.039354,0.978240
15,0.156471,0.980605
16,0.130550,0.965626
17,0.094442,0.974929
18,0.201756,0.974298
19,0.127101,0.976033
20,0.070740,0.979344
21,0.081366,0.974929
22,0.113091,0.980448
23,0.043861,0.980448
24,0.103543,0.979502
25,0.101247,0.980448
26,0.083131,0.979817
27,0.160911,0.980605
28,0.122461,0.981236
29,0.066157,0.979659
30,0.032680,0.982498
31,0.089903,0.978398
32,0.120343,0.964995
33,0.180199,0.978398
34,0.081600,0.981236
35,0.030108,0.982025
36,0.071805,0.975402
37,0.073498,0.979502
38,0.044046,0.977294
39,0.061739,0.977137
40,0.096218,0.976979
41,0.179877,0.973510
42,0.072743,0.977137
43,0.093974,0.974456
44,0.184771,0.975875
45,0.088741,0.974456
46,0.052146,0.977294
47,0.146451,0.981394
48,0.159157,0.980921
49,0.152899,0.978871
50,0.125871,0.972879
51,0.113597,0.977925
52,0.073413,0.980132
53,0.091882,0.972091
54,0.107716,0.984232
55,0.138740,0.972722
56,0.090907,0.977767
57,0.047833,0.980290
58,0.118676,0.980605
59,0.042353,0.976664
60,0.113436,0.977925
61,0.075352,0.981709
62,0.122331,0.978713
63,0.032353,0.980605
64,0.189608,0.976664
65,0.131658,0.980290
66,0.088768,0.977767
67,0.110171,0.978240
68,0.173489,0.976979
69,0.072907,0.980763
70,0.136632,0.976821
71,0.059007,0.980763
72,0.074629,0.976506
73,0.099025,0.980448
74,0.036332,0.971460
75,0.113673,0.980132
76,0.117873,0.973668
77,0.086391,0.970987
78,0.041395,0.982340
79,0.150040,0.977610
80,0.132526,0.979817
81,0.044913,0.976979
82,0.069042,0.980448
83,0.115754,0.982340
84,0.044868,0.978240
85,0.079684,0.981552
86,0.057831,0.981867
87,0.128738,0.979975
88,0.079914,0.979029
89,0.048669,0.981867
90,0.164368,0.981079
91,0.081878,0.977767
92,0.047935,0.977137
93,0.065881,0.975560
94,0.058225,0.978083
95,0.062969,0.979186
96,0.114813,0.980763
97,0.085168,0.982498
98,0.067957,0.978556
99,0.073099,0.980763
100,0.104567,0.975875
1,0.128730,0.964207
2,0.194949,0.969095
3,0.132092,0.976348
4,0.094160,0.973983
5,0.177580,0.981394
6,0.144529,0.976033
7,0.172218,0.977452
8,0.076974,0.981709
9,0.108913,0.978556
10,0.174180,0.978713
11,0.105294,0.980763
12,0.138759,0.981394
13,0.154192,0.974929
14,0.066780,0.981079
15,0.080645,0.976190
16,0.093565,0.977767
17,0.105608,0.972091
18,0.090376,0.977610
