epoch,train_loss,test_accuracy
1,0.307300,0.942245
2,0.258880,0.948944
3,0.158162,0.955238
4,0.211673,0.954222
5,0.301495,0.948437
6,0.194427,0.957471
7,0.054040,0.958689
8,0.157501,0.957268
9,0.258330,0.965794
10,0.165478,0.964982
11,0.075394,0.954730
12,0.472476,0.965388
13,0.127182,0.966098
14,0.200871,0.960313
15,0.167777,0.967621
16,0.062859,0.961429
17,0.121144,0.960313
18,0.309686,0.957978
19,0.106572,0.968230
20,0.074431,0.956456
21,0.076346,0.956151
22,0.191546,0.965489
23,0.085884,0.967012
24,0.141378,0.969245
25,0.041818,0.967722
26,0.142382,0.966606
27,0.111887,0.966403
28,0.059242,0.969549
29,0.125208,0.963155
30,0.075389,0.966403
31,0.117399,0.966098
32,0.087654,0.967621
33,0.052238,0.969448
34,0.206225,0.967418
35,0.179367,0.964170
36,0.193110,0.947523
37,0.084323,0.965083
38,0.185024,0.965185
39,0.170715,0.966606
40,0.171038,0.938693
41,0.167410,0.964373
42,0.142241,0.969143
43,0.064272,0.963155
44,0.127813,0.967621
45,0.162898,0.959196
46,0.064311,0.965083
47,0.138625,0.962343
48,0.128678,0.969042
49,0.129326,0.965997
50,0.173971,0.969651
51,0.107299,0.966707
52,0.115892,0.965286
53,0.075944,0.965794
54,0.127025,0.971376
55,0.205000,0.972087
56,0.071115,0.970666
57,0.067376,0.968331
58,0.041800,0.967316
59,0.041989,0.968433
60,0.055386,0.962140
61,0.048628,0.967824
62,0.051236,0.966910
63,0.133737,0.968433
64,0.142249,0.957369
65,0.183593,0.969143
66,0.134678,0.968940
67,0.139897,0.963459
68,0.090625,0.971173
69,0.201206,0.961531
70,0.136805,0.969549
71,0.049243,0.969448
72,0.102495,0.969752
73,0.129163,0.961429
74,0.061804,0.963865
75,0.156122,0.962444
76,0.048115,0.971478
77,0.225113,0.966910
78,0.056466,0.963561
79,0.155916,0.960719
80,0.144454,0.964271
81,0.151150,0.965591
82,0.164863,0.967418
83,0.079575,0.967824
84,0.084165,0.958486
85,0.100241,0.967418
86,0.045451,0.965489
87,0.068212,0.965692
88,0.086449,0.965286
89,0.128321,0.966403
90,0.166069,0.966504
91,0.131789,0.965997
92,0.074295,0.966707
93,0.183348,0.965489
94,0.089465,0.963967
95,0.078148,0.962749
96,0.055862,0.965794
97,0.081273,0.962444
98,0.043176,0.966910
99,0.201345,0.968636
100,0.096462,0.968534
1,0.171731,0.941941
2,0.187859,0.949756
3,0.152846,0.952192
4,0.171412,0.956659
5,0.163331,0.959907
6,0.153205,0.959704
7,0.103438,0.956963
8,0.132474,0.959298
9,0.181512,0.966504
10,0.264890,0.966200
11,0.400543,0.966504
12,0.115656,0.965591
13,0.080960,0.963764
14,0.037506,0.956354
15,0.263107,0.961531
16,0.082696,0.967418
17,0.230386,0.961937
18,0.209331,0.951482
19,0.321318,0.961226
20,0.127477,0.955339
21,0.155706,0.947016
