epoch,train_loss,test_accuracy
66,0.208511,0.989450
67,0.145237,0.989450
68,0.098904,0.990367
69,0.331987,0.990367
70,0.134500,0.988991
71,0.155704,0.990367
72,0.198998,0.989450
73,0.203838,0.989908
74,0.234065,0.990367
75,0.093793,0.983028
76,0.051088,0.988532
77,0.360252,0.989908
78,0.096604,0.990367
79,0.199798,0.988532
80,0.158764,0.988532
81,0.209306,0.989908
82,0.189482,0.985321
83,0.295915,0.989450
84,0.150419,0.988991
85,0.234007,0.979817
86,0.050633,0.988532
87,0.204161,0.989908
88,0.219641,0.989450
89,0.154115,0.986239
90,0.110394,0.989908
91,0.182349,0.989908
92,0.279773,0.991284
93,0.219709,0.990826
94,0.115554,0.989908
95,0.206672,0.987156
96,0.139239,0.991284
97,0.275197,0.989450
98,0.128854,0.989450
99,0.257413,0.990367
100,0.152662,0.987615
1,0.224175,0.924312
2,0.166752,0.944954
3,0.367907,0.951835
4,0.259341,0.957798
5,0.278708,0.971101
6,0.231431,0.971101
7,0.338390,0.980734
8,0.135030,0.979358
9,0.223771,0.964679
10,0.328065,0.979817
11,0.188265,0.988073
12,0.226404,0.983028
13,0.213125,0.988991
14,0.155222,0.987615
15,0.232784,0.986239
16,0.182861,0.980734
17,0.200183,0.987615
18,0.240355,0.994037
19,0.185264,0.988073
20,0.238248,0.990826
21,0.160492,0.989450
22,0.246972,0.991743
23,0.177666,0.993119
24,0.146196,0.992661
25,0.217960,0.988532
26,0.186395,0.992202
27,0.063968,0.992202
28,0.330677,0.994037
29,0.072993,0.992661
30,0.266699,0.992202
31,0.307651,0.994495
32,0.314612,0.969725
33,0.203266,0.993119
34,0.191071,0.991743
35,0.145450,0.994495
36,0.186529,0.994954
37,0.263696,0.988532
38,0.129359,0.980275
39,0.150518,0.992202
40,0.180298,0.992202
41,0.256870,0.956422
42,0.204617,0.992661
43,0.231768,0.994495
44,0.116751,0.990826
45,0.103859,0.995413
46,0.073062,0.989908
47,0.332019,0.994495
48,0.105216,0.990826
49,0.221619,0.990826
50,0.182247,0.986697
51,0.169399,0.986239
52,0.105746,0.993578
53,0.159767,0.994037
54,0.264684,0.988073
55,0.129788,0.990367
56,0.092275,0.993578
57,0.058149,0.988991
58,0.097464,0.991284
59,0.091572,0.992202
60,0.325333,0.988991
61,0.111232,0.977523
62,0.081192,0.975229
63,0.279663,0.984404
64,0.199326,0.995413
65,0.168648,0.992202
66,0.108395,0.994037
67,0.462766,0.993578
68,0.163932,0.994037
69,0.253391,0.992202
70,0.056461,0.988532
71,0.104122,0.989908
72,0.098563,0.988991
73,0.131411,0.988073
74,0.095653,0.989450
75,0.120422,0.986239
76,0.171845,0.994495
77,0.031697,0.995413
78,0.105866,0.993578
79,0.208445,0.991284
80,0.291988,0.996330
81,0.094597,0.986239
82,0.087431,0.989908
83,0.293083,0.990826
84,0.097144,0.992661
85,0.088924,0.993578
86,0.179338,0.992202
87,0.211784,0.992661
88,0.129127,0.995413
89,0.229877,0.991284
90,0.208631,0.993578
91,0.099598,0.995413
92,0.280411,0.987615
93,0.240377,0.994495
94,0.383283,0.993578
95,0.194174,0.992202
96,0.110989,0.993578
97,0.195198,0.993578
98,0.068713,0.994037
99,0.105561,0.993119
100,0.104615,0.989908
1,0.293720,0.940367
2,0.182327,0.932110
3,0.206095,0.956881
4,0.063566,0.961009
5,0.114366,0.966972
6,0.436073,0.976147
7,0.217071,0.986239
8,0.311830,0.985780
9,0.273620,0.984862
10,0.148906,0.984404
11,0.110858,0.987156
12,0.147874,0.983486
13,0.167145,0.974312
14,0.079265,0.986697
15,0.106920,0.978899
16,0.208874,0.979358
17,0.170145,0.986239
18,0.222070,0.988991
19,0.293722,0.979817
