epoch,train_loss,train_accuracy,test_accuracy
1,0.143772,0.958490,0.964075
2,0.085659,0.987035,0.984993
3,0.027172,0.995792,0.994088
4,0.009160,0.993404,0.992724
5,0.012738,0.996929,0.996362
6,0.007143,0.997384,0.995907
7,0.001886,0.998294,0.997271
8,0.000983,0.998522,0.995907
9,0.001346,0.998749,0.997726
10,0.001320,0.999090,0.996817
